audiobook_id,categories,rating_overall,rating_performance,rating_story
,Literature & Fiction,4.7,4.9,4.7
,Romance,4.7,4.8,4.7
,Business & Careers,4.6,4.6,4.6
,"Mystery, Thriller & Suspense",4.3,4.2,4.3
,Politics & Social Sciences,4.8,4.7,4.8
,Romance,4.6,4.7,4.5
,Health & Wellness,4.8,4.8,4.8
,Biographies & Memoirs,4.7,4.7,4.7
,Health & Wellness,4.8,4.8,4.8
,Science Fiction & Fantasy,4.7,4.9,4.7
,Children\'s Audiobooks,4.5,4.7,4.5
,Science Fiction & Fantasy,4.6,4.6,4.7
,Health & Wellness,3.2,2.9,3.0
,Literature & Fiction,4.4,4.4,4.4
,Business & Careers,4.4,4.4,4.3
,Literature & Fiction,4.5,4.7,4.4
,Literature & Fiction,4.7,4.8,4.7
,Science Fiction & Fantasy,4.8,4.8,4.8
,Literature & Fiction,4.5,4.7,4.5
,Business & Careers,4.6,4.8,4.7
,Romance,4.8,4.8,4.8
,"Relationships, Parenting & Personal Development",4.7,4.7,4.8
,Business & Careers,4.8,4.8,4.8
,Science Fiction & Fantasy,4.8,4.8,4.7
,"Mystery, Thriller & Suspense",4.8,4.9,4.8
,Science Fiction & Fantasy,4.8,4.9,4.8
,"Mystery, Thriller & Suspense",4.4,4.6,4.4
,Teen & Young Adult,4.7,4.8,4.6
,Biographies & Memoirs,4.8,4.6,4.8
,"Mystery, Thriller & Suspense",4.3,4.5,4.3
,Children\'s Audiobooks,4.5,4.5,4.6
,Literature & Fiction,4.3,4.6,4.3
,Literature & Fiction,4.4,4.7,4.4
,Science Fiction & Fantasy,4.7,4.8,4.7
,Literature & Fiction,4.8,4.8,4.8
,Science Fiction & Fantasy,4.7,4.7,4.6
,Teen & Young Adult,4.6,4.8,4.5
,Biographies & Memoirs,4.8,4.8,4.8
,Comedy & Humor,4.9,4.9,4.9
,Erotica,4.6,4.7,4.6
,Money & Finance,4.8,4.8,4.7
,Teen & Young Adult,4.7,4.6,4.7
,Money & Finance,4.8,4.8,4.8
,Teen & Young Adult,4.8,4.9,4.8
,Biographies & Memoirs,4.9,4.9,4.9
,Literature & Fiction,4.8,4.9,4.7
,Health & Wellness,4.7,4.6,4.6
,Politics & Social Sciences,4.9,4.8,4.9
,"Relationships, Parenting & Personal Development",4.8,4.8,4.8
,Literature & Fiction,4.4,4.5,4.5
,Health & Wellness,4.6,4.6,4.6
