audiobook_id,title,author,narrator,summary,audiobook_link,length,release_date,price
/pd/Harry-,"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Jim Dale,"When the Knight Bus crashes through the darkness and screeches to a halt in front of him, it's the start of another far from ordinary year at Hogwarts for Harry Potter. Sirius Black, escaped mass-murderer and follower of Lord Voldemort, is on the run - and they say he is coming after Harry. In his first ever Divination class, Professor Trelawney sees an omen of death in Harry's tea leaves... But perhaps most terrifying of all are the Dementors patrolling the school grounds, with their soul-sucking kiss.",/pd/Harry-Potter-and-the-Prisoner-of-Azkaban-Book-3-Audiobook/B017V4JA2Q, 11 hrs and 49 mins,11-20-15,$29.99
/pd/Findin,Finding Me,Viola Davis,Viola Davis,,/pd/Finding-Me-Audiobook/B09F4X96MC, 9 hrs and 15 mins,04-26-22,$21.42
/pd/Triple,Triple Cross,James Patterson,"Wayne Carr, Mela Lee, Inger Tudor, and others","Detective Alex Cross hunts down a serial killer who targets entire families—and who will next be coming for the Crosses. A precise killer, he always moves under the cover of darkness, flawlessly triggering no alarms, leaving no physical evidence. Cross and Sampson aren’t the only ones investigating. Also in on this most intriguing case is the world’s bestselling true-crime author, who sees patterns everyone else misses. The writer, Thomas Tull, calls the Family Man murders the perfect crime story. He believes the killer may never be caught.",/pd/Triple-Cross-Audiobook/B09XVJ972Q, 9 hrs and 13 mins,10-31-22,$30.79
/pd/The-Cl,The Cloisters,Katy Hays,Emily Tremaine,"When Ann Stilwell arrives in New York City, she expects to spend her summer working as a curatorial associate at the Metropolitan Museum of Art. Instead, she finds herself assigned to The Cloisters, a gothic museum and garden renowned for its medieval art collection and its group of enigmatic researchers studying the history of divination. Desperate to escape her painful past, Ann is happy to indulge the researchers’ more outlandish theories about the history of fortune telling.",/pd/The-Cloisters-Audiobook/B0B137F4W9, 10 hrs and 16 mins,11-01-22,$22.67
/pd/Beyond,Beyond the Wand,Tom Felton,Tom Felton,"Tom Felton’s adolescence was anything but ordinary. His early rise to fame in beloved films like The Borrowers catapulted him into the limelight, but nothing could prepare him for what was to come after he landed the iconic role of the Draco Malfoy, the bleached blonde villain of the Harry Potter movies. For the next ten years, he was at the center of a huge pop culture phenomenon and yet, in between filming, he would go back to being a normal teenager trying to fit into a normal school. Speaking with great candor and his signature humor, Tom shares his experience.",/pd/Beyond-the-Wand-Audiobook/B0B29G96TX, 6 hrs and 36 mins,10-18-22,$29.65
/pd/Swamp-,Swamp Spirits,Jana DeLeon,Cassandra Campbell,"Fortune is thrilled when Ben Harrison, her former CIA partner, and his fiancée, Cassidy, decide to leave DC and move to the Louisiana bayous. They’ve already secured jobs and are only lacking a place to live, so everyone is excited when they quickly find a home. There’s only one problem—the house has a reputation. It’s haunted.",/pd/Swamp-Spirits-Audiobook/B0BKQZVGBF, 9 hrs and 25 mins,11-01-22,$19.95
/pd/The-Si,The Silmarillion,J. R. R. Tolkien,Martin Shaw,,/pd/The-Silmarillion-Audiobook/B016N9U1XW, 14 hrs and 49 mins,10-29-15,$18.54
/pd/Unfu-k,Unfu*k Yourself,Gary John Bishop,Gary John Bishop,"Are you tired of feeling f*cked up? If you are, Gary John Bishop has the answer. In this straightforward handbook, he gives you the tools and advice you need to demolish the slag weighing you down and become the truly unf--ked version of yourself. Wake up to the miracle you are, he directs. Here's what you've forgotten: You're a f--king miracle of being. It isn't other people that are standing in your way; it isn't even your circumstances that are blocking your ability to thrive. It's yourself and the negative self-talk you keep telling yourself.",/pd/Unfu-k-Yourself-Audiobook/B0731R4RFX, 3 hrs and 24 mins,08-01-17,$14.49
/pd/Rich-D,Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Tom Parks,"Rich Dad Poor Dad is Robert's story of growing up with two dads - his real father and the father of his best friend, his rich dad - and the ways in which both men shaped his thoughts about money and investing. The book explodes the myth that you need to earn a high income to be rich and explains the difference between working for money and having your money work for you. In the 20th anniversary edition of this classic, Robert offers an update on what we’ve seen over the past 20 years related to money, investing, and the global economy.",/pd/Rich-Dad-Poor-Dad-20th-Anniversary-Edition-Audiobook/197869167X, 8 hrs and 22 mins,05-14-19,$12.99
/pd/Crossr,Crossroads of Twilight,Robert Jordan,"Kate Reading, Michael Kramer","The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.",/pd/Crossroads-of-Twilight-Audiobook/B0036N9G8K, 26 hrs and 4 mins,01-17-03,$33.94
/pd/Mythos,Mythos,Stephen Fry,Stephen Fry,"Here are the thrills, grandeur, and unabashed fun of the Greek myths, stylishly retold by Stephen Fry. The legendary writer, actor, and comedian breathes life into ancient tales, from Pandora's box to Prometheus's fire, and transforms the adventures of Zeus and the Olympians into emotionally resonant and deeply funny stories, without losing any of their original wonder. Learned notes from the author offer rich cultural context. This volume is a doorway into a captivating world.",/pd/Mythos-Audiobook/1452184712, 15 hrs and 26 mins,08-27-19,$14.95
/pd/The-Wi,The Wise Man&apos;s Fear,Patrick Rothfuss,Nick Podehl,"My name is Kvothe. You may have heard of me. So begins a tale told from his own point of view - a story unequaled in fantasy literature. Now in The Wise Man’s Fear, Day Two of The Kingkiller Chronicle, Kvothe takes his first steps on the path of the hero and learns how difficult life can be when a man becomes a legend in his own time.",/pd/The-Wise-Mans-Fear-Audiobook/B004QISZN6, 42 hrs and 55 mins,03-03-11,$35.69
/pd/Every-,Every Summer After,Carley Fortune,Aj Bridel,"They say you can never go home again, and for Persephone Fraser, ever since she made the biggest mistake of her life a decade ago, that has felt too true. Instead of glittering summers on the lakeshore of her childhood, she spends them in a stylish apartment in the city, going out with friends, and keeping everyone a safe distance from her heart. Until she receives the call that sends her racing back to Barry’s Bay and into the orbit of Sam Florek—the man she never thought she’d have to live without.",/pd/Every-Summer-After-Audiobook/B09FC7KFCN, 9 hrs and 38 mins,05-10-22,$18.49
/pd/Make-I,Make It Stick,Peter C. Brown,Qarie Marshall,,/pd/Make-It-Stick-Audiobook/B00M0EO7EY, 8 hrs and 34 mins,07-23-14,$34.99
/pd/The-Gr,The Gray Man,Mark Greaney,Jay Snyder,"Court Gentry is known as The Gray Man—a legend in the covert realm, moving silently from job to job, accomplishing the impossible, and then fading away. And he always hits his target. But there are forces more lethal than Gentry in the world. And in their eyes, Gentry has just outlived his usefulness. Now, he is going to prove that for him, there's no gray area between killing for a living-and killing to stay alive.",/pd/The-Gray-Man-Audiobook/B003UNYZ7I, 11 hrs and 11 mins,08-30-10,$24.95
/pd/The-In,The Intelligent Investor Rev Ed.,Benjamin Graham,Luke Daniels,,/pd/The-Intelligent-Investor-Rev-Ed-Audiobook/B00V95QQXA, 17 hrs and 48 mins,07-07-15,$44.49
